customer_id,customers_count
39483907,2
39842891,1
40062114,1
7702815,1
8982155,1
31481164,2
39026522,1
39288736,1
39621917,1
27556313,2
36197724,1
38280388,6
49062077,1
31535368,3
32656001,1
24644831,1
30592033,1
40392752,2
25288418,1
36018041,1
38934164,1
6715408,1
37432750,2
37554076,4
31505981,4
35507291,1
36859876,1
39217495,1
8064306,3
30744398,1
32418888,1
27640392,1
29110685,2
35380386,1
36229363,1
37105111,1
29749231,1
35760108,1
40067395,1
33716053,1
37364833,1
37997713,2
8389852,1
36100074,1
39644270,1
40252951,1
31368121,2
33686318,1
36277478,1
41112826,1
32715818,2
40748428,2
8918938,1
31495201,1
31506151,2
36353554,1
37353211,1
40286706,2
8494798,3
40563115,1
40584685,1
30127912,2
33250847,1
38099870,1
49032905,1
9798612,1
27308317,1
29461344,5
36356475,1
38304811,1
40037039,2
26570511,1
39078946,2
40102787,4
39136047,3
40273933,2
24611161,1
27049239,1
39987769,1
24465082,1
27532417,1
28496617,1
37516966,1
40084126,1
32818497,3
33575699,1
33712176,1
38846393,1
40852719,1
31317846,1
37135530,1
23963463,1
32039028,1
24899192,1
40674340,1
9309786,1
40026193,3
40360404,1
29678680,1
34051669,1
35824667,1
27221352,1
27816624,1
28342685,1
37492366,1
39493161,1
24221592,1
30342201,2
37035260,3
38161913,1
48883960,2
36223526,2
38569952,1
39705293,1
7453967,1
27620846,1
32383098,1
48698511,1
48825233,1
37709180,1
40907030,4
32918902,1
36091211,2
37360895,1
40790289,1
28752001,1
28891502,1
34959938,1
40218853,4
40612217,2
40866871,1
23879258,1
40411292,2
25671622,1
26364978,2
26476786,2
28330242,1
32910749,1
6463589,1
30395307,1
32609041,1
33388555,1
34230422,1
38992077,1
41022896,2
33214183,1
34316415,1
36979543,2
37853836,1
38211459,1
38914098,1
40403135,4
26602690,1
27230952,1
30006560,1
28586780,1
32098388,1
8414219,1
27250749,2
33173435,1
39604695,1
39899209,1
41144685,1
7469928,1
34178478,1
34537796,1
35839152,1
39560717,1
8940063,1
35538877,1
36285589,1
38372331,1
38439743,2
39099566,4
39534401,2
40629443,1
29560712,1
29635304,1
28000417,3
35374503,4
35712634,1
40580807,1
32925317,1
33150148,1
33476970,1
40299931,1
7498334,1
